 ,Name,ID,DG,DrugOrNonDrug,logP,formula,exactmass,NumberofCarbons,wienerindex,MSA,PSA,apolarsurfacearea,donorCount,acceptorCount,rotatablebondCount,atomCount,hydrogenCount,NHA,molecularpolarizability,aliphaticringCount,aromaticringCount,aromaticatomCount,balabanindex,hararyindex,bondCount,hyperwienerindex,plattindex,randicindex,ringCount,szegedindex,wienerpolarity,DG_NHA,DG_MW,DG_PSA,DG_MSA,DG_apolarSA,DG_Wiener,DG_P,DG_NoC
1,Acarbose,DR001,-9.86,1,-6.82,C25H43NO18,645.25,25,7413,738.94,309.14,429.8,14,19,9,87,43,44,57.39,4,0,0,1.35,207.69,90,43344,330,38.76,4,11511,86,-0.22,-0.02,-0.03,-0.01,-0.02,0,-65153160.07,-0.39
2,Acetazolamide,DR002,-11.25,1,-0.44,C4H6N4O3S2,221.99,4,257,229.89,125.64,104.25,2,8,2,19,6,13,18.54,0,1,5,2.18,33.71,19,677,60,8.48,1,294,14,-0.87,-0.05,-0.09,-0.05,-0.11,-0.04,-30.97,-2.81
3,Adenosine,DR003,-7.53,1,-2.73,C10H13N5O4,267.1,10,657,303.12,113.52,189.6,4,8,2,32,13,19,24.67,3,0,0,1.65,63.95,34,1939,116,14.6,3,955,32,-0.4,-0.03,-0.07,-0.02,-0.04,-0.01,-4045.89,-0.75
4,Alclometasone,DR004,-12.76,1,1.18,C22H29ClO5,408.17,22,1682,488.72,94.83,393.89,3,6,2,57,29,28,41.99,4,0,0,1.7,121.28,60,5609,234,24.85,4,3216,66,-0.46,-0.03,-0.13,-0.03,-0.03,-0.01,-0.84,-0.58
5,Allopurinol,DR005,-6.08,1,-0.8,C5H4N4O,136.04,5,105,154.04,74.69,79.35,2,4,0,14,4,10,13.01,2,0,0,1.66,24.25,15,198,44,6.63,2,185,12,-0.61,-0.04,-0.08,-0.04,-0.08,-0.06,-38.35,-1.22
6,Alprazolam,DR006,-5.9,1,2.44,C17H13ClN4,308.08,17,926,362.76,43.07,319.69,0,4,1,35,13,22,33.59,1,3,17,1.59,81.47,38,2770,126,16.02,4,1613,40,-0.27,-0.02,-0.14,-0.02,-0.02,-0.01,-0.02,-0.35
7,Alprenolol,DR007,-13.58,1,2.84,C15H23NO2,249.17,15,711,368.66,29.46,339.2,2,3,8,41,23,18,29.51,0,1,6,2.22,51.82,41,2544,142,17.93,1,873,21,-0.75,-0.05,-0.46,-0.04,-0.04,-0.02,-0.02,-0.91
8,Amantadine,DR008,-6.82,1,2.31,C10H17N,151.14,10,124,213.77,26,187.77,1,1,0,28,17,11,18.5,3,0,0,1.79,30,30,226,126,11.94,3,352,15,-0.62,-0.05,-0.26,-0.03,-0.04,-0.06,-0.03,-0.68
9,Amiloride,DR009,-7.64,1,0.43,C6H8ClN7O,229.05,6,368,222.4,47.89,174.51,4,9,1,23,8,15,19.82,1,0,0,2.36,42.23,23,1001,66,10.56,1,518,21,-0.51,-0.03,-0.16,-0.03,-0.04,-0.02,-2.84,-1.27
10,AminocaproicAcid,DR010,-6.76,1,0.05,C6H13NO2,131.09,6,114,199.65,37.3,162.35,2,3,5,22,13,9,14.14,0,0,0,2.75,16.84,21,297,74,9.42,0,114,6,-0.75,-0.05,-0.18,-0.03,-0.04,-0.06,-6.03,-1.13
11,Amiodarone,DR011,-8.73,1,7.91,C25H29I2NO3,645.02,25,2897,626.9,53.03,573.87,0,3,11,60,29,31,57.09,0,3,15,1.54,122.5,62,13598,220,26.26,3,3952,50,-0.28,-0.01,-0.16,-0.01,-0.02,0,-0.000000107,-0.35
12,Amitriptyline,DR012,-13.33,1,4.93,C20H23N,277.18,20,882,398.42,13.59,384.83,0,1,3,44,23,21,35.25,1,2,12,1.48,72.71,46,2780,162,19.43,3,1385,35,-0.63,-0.05,-0.98,-0.03,-0.03,-0.02,0,-0.67
13,Amlodipine,DR013,-9.39,1,1.7,C20H25ClN2O5,408.15,20,1836,506.6,61.83,444.77,2,8,10,53,25,28,42.12,1,1,6,2.21,110.94,54,6378,186,23.24,2,2608,47,-0.34,-0.02,-0.15,-0.02,-0.02,-0.01,-0.19,-0.47
14,Amodiaquine,DR014,-10.55,1,3.99,C20H22ClN3O,355.15,20,1580,465.17,46.71,418.46,2,5,6,47,22,25,41.11,1,2,12,1.37,90.31,49,6284,166,21.03,3,2562,39,-0.42,-0.03,-0.23,-0.02,-0.03,-0.01,0,-0.53
15,Amphetamine,DR015,-8.7,1,1.76,C9H13N,135.1,9,126,211.9,26,185.9,1,1,2,23,13,10,17.37,0,1,6,2.13,22.08,23,287,78,10.12,1,189,9,-0.87,-0.06,-0.33,-0.04,-0.05,-0.07,-0.15,-0.97
16,Amprenavir,DR016,-11.87,1,2.12,C25H35N3O6S,505.22,25,3813,659.78,111.87,547.91,3,9,11,70,35,35,53.55,1,2,12,1.63,145.86,72,17351,258,30.68,3,4538,50,-0.34,-0.02,-0.11,-0.02,-0.02,0,-0.09,-0.47
17,Anastrozole,DR017,-6.95,1,0.86,C17H19N5,293.16,17,1015,413.11,78.29,334.82,0,4,6,41,19,22,32.49,1,1,6,1.9,76.55,42,3289,146,18.13,2,1395,33,-0.32,-0.02,-0.09,-0.02,-0.02,-0.01,-0.96,-0.41
18,Apomorphine,DR018,-11.53,1,3.12,C17H17NO2,267.13,17,680,340.94,54.05,286.89,2,3,0,37,17,20,31.69,2,2,12,1.45,72.72,40,1840,142,16.68,4,1669,40,-0.58,-0.04,-0.21,-0.03,-0.04,-0.02,-0.01,-0.68
19,Aprepitant,DR019,-6.82,1,3.91,C23H21F7N4O3,534.15,23,4275,600.47,93.59,506.88,2,12,8,58,21,37,43.44,2,2,12,1.49,163.69,61,19663,216,25.64,4,6189,59,-0.18,-0.01,-0.07,-0.01,-0.01,0,0,-0.3
20,Argatroban,DR020,-10.11,1,0.7,C23H36N6O5S,508.25,23,3704,644.02,122.84,521.18,5,11,8,71,36,35,52.45,2,1,6,1.7,149.1,73,16457,268,30.91,3,5056,57,-0.29,-0.02,-0.08,-0.02,-0.02,0,-2.02,-0.44
21,Aripiprazole,DR021,-7.67,1,3.41,C23H27Cl2N3O2,447.15,23,3204,557.51,53.48,504.03,1,7,7,57,27,30,47.2,2,2,12,0.96,111.13,60,18350,218,25.06,4,4951,46,-0.26,-0.02,-0.14,-0.01,-0.02,0,0,-0.33
22,Astemizole,DR022,-12.28,1,4.46,C28H31FN4O,458.25,28,4090,610.86,40.64,570.22,1,5,8,65,31,34,52.59,2,3,18,1.01,136.94,69,22647,244,28.93,5,6085,51,-0.36,-0.03,-0.3,-0.02,-0.02,0,0,-0.44
23,Atenolol,DR023,-10.67,1,0.46,C14H22N2O3,266.16,14,890,379.84,46.53,333.31,3,5,8,41,22,19,29.19,0,1,6,1.98,55.1,41,3650,142,17.93,1,1142,21,-0.56,-0.04,-0.23,-0.03,-0.03,-0.01,-3.7,-0.76
24,Atovaquone,DR024,-9.85,1,6.27,C22H19ClO3,366.1,22,1705,424.46,54.37,370.09,1,4,2,45,19,26,39.68,2,2,12,1.18,99.26,48,6917,170,20.21,4,3141,47,-0.38,-0.03,-0.18,-0.02,-0.03,-0.01,-0.00000529,-0.45
25,Atropine,DR025,-13.77,1,1.83,C17H23NO3,289.17,17,959,387.02,60.12,326.9,1,4,5,44,23,21,32.11,2,1,6,1.33,70.84,46,3348,172,19.23,3,1373,32,-0.66,-0.05,-0.23,-0.04,-0.04,-0.01,-0.2,-0.81
26,AzelaicAcid,DR026,-5.53,1,1.71,C9H16O4,188.1,9,344,267.95,74.6,193.35,2,4,8,29,16,13,19.01,0,0,0,2.92,29.18,28,1216,100,12.46,0,344,10,-0.43,-0.03,-0.07,-0.02,-0.03,-0.02,-0.11,-0.61
