 ,Name,ID,DG,DrugOrNonDrug,logP,formula,exactmass,NumberofCarbons,wienerindex,MSA,PSA,apolarsurfacearea,donorCount,acceptorCount,rotatablebondCount,atomCount,hydrogenCount,NHA,molecularpolarizability,aliphaticringCount,aromaticringCount,aromaticatomCount,balabanindex,hararyindex,bondCount,hyperwienerindex,plattindex,randicindex,ringCount,szegedindex,wienerpolarity,DG_NHA,DG_MW,DG_PSA,DG_MSA,DG_apolarSA,DG_Wiener,DG_P,DG_NoC
1,Acamprosate,DR1,-6.8,1,-1.11,C5H11NO4S,181.04,5,190,227.61,79.82,147.79,2,5,4,22,11,11,16.5,0,0,0,3.15,23.81,21,530,74,9.38,0,190,8,-0.62,-0.04,-0.09,-0.03,-0.05,-0.04,-87.6,-1.36
2,acebutolol,DR2,-9.38,1,1.68,C18H28N2O4,336.2,18,1568,483.07,63.6,419.47,3,6,10,52,28,24,36.87,0,1,6,2.42,79.51,52,6784,184,22.52,1,1982,31,-0.39,-0.03,-0.15,-0.02,-0.02,-0.01,-0.2,-0.52
3,acetophenazine,DR3,-11.72,1,2.04,C23H29N3O2S,411.2,23,2410,541.66,103.37,438.29,1,6,7,58,29,29,46.9,2,2,12,1.24,112.32,61,10772,220,25.56,4,4062,47,-0.4,-0.03,-0.11,-0.02,-0.03,0,-0.11,-0.51
4,Agomelatine,DR4,-8.96,1,2.76,C15H17NO2,243.13,15,642,339.35,26.3,313.05,1,3,4,35,17,18,29.02,0,2,10,1.74,55.09,36,2083,122,15.5,2,1028,25,-0.5,-0.04,-0.34,-0.03,-0.03,-0.01,-0.02,-0.6
5,Albendazole,DR5,-6.8,1,2.45,C12H15N3O2S,265.09,12,676,336.86,92.31,244.55,2,5,5,33,15,18,28.97,1,1,6,1.67,54.29,34,2362,114,14.64,2,933,23,-0.38,-0.03,-0.07,-0.02,-0.03,-0.01,-0.02,-0.57
6,albuterol_salbutamol,DR6,-8.56,1,1.44,C13H21NO3,239.15,13,560,352.71,60.69,292.02,4,4,5,38,21,17,26.61,0,1,6,2.25,49.66,38,1788,132,16.7,1,744,22,-0.5,-0.04,-0.14,-0.02,-0.03,-0.02,-0.31,-0.66
7,alcaftadine,DR7,-11.57,1,0.75,C19H21N3O,307.17,19,1053,398.78,48.48,350.3,0,3,1,44,21,23,35.24,3,1,6,1.53,86.57,47,3256,170,19.46,4,1748,42,-0.5,-0.04,-0.24,-0.03,-0.03,-0.01,-2.06,-0.61
8,Alfuzosin,DR8,-11.55,1,0.86,C19H27N5O4,389.21,19,2380,519.46,84.13,435.33,2,9,8,55,27,28,41.35,2,1,6,1.32,103.22,57,11517,202,24.07,3,3424,43,-0.41,-0.03,-0.14,-0.02,-0.03,0,-1.59,-0.61
9,AMOXAPINE,DR9,-11.82,1,2.31,C17H16ClN3O,313.1,17,936,375.53,35.18,340.35,1,4,0,38,16,22,33.85,2,2,12,1.57,80.78,41,2813,142,17.15,4,1721,39,-0.54,-0.04,-0.34,-0.03,-0.03,-0.01,-0.06,-0.7
10,Atomoxetine,DR10,-11.85,1,3.95,C17H21NO,255.16,17,728,378.73,9.23,369.5,1,2,6,40,21,19,31.33,0,2,12,1.69,59.32,41,2311,140,17.69,2,1028,25,-0.62,-0.05,-1.28,-0.03,-0.03,-0.02,0,-0.7
